Book_Title,Book_Author,Year_Of_Publication,Publisher,Book_Rating,label
Affinity,Sarah Waters,2002,Riverhead Books,0,2
The Dante Club : A Novel,MATTHEW PEARL,2004,Random House Trade Paperbacks,0,2
The Feast of Love (Vintage Contemporaries (Paperback)),Charles Baxter,2001,Vintage Books USA,0,2
The Main Corpse (Culinary Mysteries (Paperback)),Diane Mott Davidson,1997,Bantam Books,0,2
"On a Pale Horse (Incarnations of Immortality, Bk. 1)",Piers Anthony,1989,Del Rey Books,0,2
The Fountainhead,Ayn Rand,1996,New American Library,0,2
The Best Laid Plans,Sidney Sheldon,1998,Warner Books,9,2
The Orchid Thief (Ballantine Reader's Circle),Susan Orlean,2000,Ballantine Books,6,4
Queen Bee of Mimosa Branch,Haywood Smith,2003,St. Martin's Paperbacks,0,2
The Celestine Prophecy,James Redfield,1995,Warner Books,0,2
The Heart Is a Lonely Hunter,CARSON MCCULLERS,1983,Bantam,0,2
"Cybernation (Tom Clancy's Net Force, No. 6)",Steve Perry,2001,Berkley Publishing Group,7,1
A Clockwork Orange (Norton Paperback Fiction),Anthony Burgess,1986,W. W. Norton &amp; Company,0,2
I'm a Stranger Here Myself: Notes on Returning to America After 20 Years Away,Bill Bryson,2000,Broadway Books,0,2
October Sky: A Memoir,Homer Hickam,1999,Dell,0,2
Childhood's End,Arthur C. Clarke,1987,Del Rey Books,8,2
Creature,John Saul,1990,Bantam Books,0,2
Behind the Scenes at the Museum,Kate Atkinson,1996,Black Swan,0,2
Wuthering Heights (Penguin Classics),Emily Bronte,1985,Penguin USA,0,2
Northern Lights (His Dark Materials S.),Philip Pullman,1998,Scholastic Point,0,2
